Name,Alternative Name,Description,Origin,Type,Plant,Health Benefits,Color,Caffeine Content (per 8oz cup),Flavor Profile,Brewing Temperature,Brewing Time,Season of Harvest
Eucalyptus Tea,-,"Herbal tea made from eucalyptus leaves, known for its soothing aroma.",Australia,Herbal,Eucalyptus globulus,"May support respiratory health, calming aroma.",Light green,0 mg,"Menthol, refreshing",200°F (93°C),5-10 minutes,Year-round
Evening Primrose Tea,-,"Herbal tea made from evening primrose seeds, known for its health benefits.",North America,Herbal,Oenothera biennis,"May balance hormones, supports skin health.",Yellowish brown,0 mg,"Nutty, slightly sweet",190°F (88°C),5-10 minutes,Summer
Eyebright Tea,-,"Herbal tea made from eyebright, traditionally used for eye health.",Europe,Herbal,Euphrasia officinalis,"Supports eye health, anti-inflammatory properties.",Light brown,0 mg,"Herbaceous, grassy",200°F (93°C),5-10 minutes,Year-round
Fennel Tea,-,"Herbal tea made from fennel seeds, known for its digestive properties.",Mediterranean,Herbal,Foeniculum vulgare,"Aids digestion, may relieve bloating.",Light brown,0 mg,"Sweet, licorice",200°F (93°C),5-10 minutes,Year-round
Fenugreek Tea,-,"Herbal tea made from fenugreek seeds, often used for its health benefits.","Asia, Mediterranean",Herbal,Trigonella foenum-graecum,"Supports lactation, may help regulate blood sugar.",Yellow-brown,0 mg,"Earthy, nutty",200°F (93°C),5-10 minutes,Year-round
Feverfew Tea,-,"Herbal tea made from feverfew leaves, known for potential migraine relief.",Europe,Herbal,Tanacetum parthenium,"May reduce migraine frequency, anti-inflammatory effects.",Light green,0 mg,"Bitter, herbal",200°F (93°C),5-10 minutes,Summer
Fig Leaf Tea,-,"Herbal tea made from fig leaves, enjoyed for its unique flavor.",Mediterranean,Herbal,Ficus carica,"May aid digestion, high in antioxidants.",Greenish brown,0 mg,"Sweet, fruity",200°F (93°C),5-10 minutes,Year-round
Formosa Oolong Tea,-,A variety of oolong tea known for its complex flavors.,Taiwan,Oolong,Camellia sinensis,"Rich in antioxidants, may aid in weight management.",Amber,30-50 mg,"Floral, fruity",190°F (88°C),3-5 minutes,Spring
Fukamushi Sencha Tea,Deep Steamed Green Tea,"A type of Japanese green tea that is steamed longer, resulting in a rich flavor.",Japan,Green,Camellia sinensis,"High in antioxidants, may provide mental clarity.",Dark green,30-50 mg,"Vegetal, sweet",175°F (80°C),1-2 minutes,Spring
Genmaicha Tea,Brown Rice Tea,"A blend of green tea and roasted brown rice, known for its toasty flavor.",Japan,Green,Camellia sinensis,"May aid digestion, soothing properties.",Light brown,30-50 mg,"Nutty, toasty",175°F (80°C),3-5 minutes,Year-round
Ginger Tea,-,"Herbal tea made from fresh ginger root, known for its warming properties.",Global,Herbal,Zingiber officinale,"Aids digestion, anti-inflammatory properties.",Light yellow,0-10 mg,"Spicy, warm",200°F (93°C),5-10 minutes,Year-round
Ginkgo Biloba Tea,-,"Herbal tea made from ginkgo leaves, known for cognitive health benefits.",Asia,Herbal,Ginkgo biloba,"May enhance memory and concentration, antioxidant properties.",Light green,0 mg,"Earthy, slightly bitter",190°F (88°C),5-10 minutes,Year-round
Ginseng Tea,-,"Herbal tea made from ginseng root, known for energy-boosting properties.",Asia,Herbal,Panax ginseng,"Boosts energy, supports immune function.",Light brown,0 mg,"Earthy, slightly sweet",190°F (88°C),5-10 minutes,Year-round
Goat's Rue Tea,-,"Herbal tea made from goat's rue, known for potential lactation support.",Europe,Herbal,Galega officinalis,"May support lactation, rich in antioxidants.",Greenish brown,0 mg,"Herbaceous, earthy",200°F (93°C),5-10 minutes,Year-round
Goji Berry Tea,-,"Herbal tea made from dried goji berries, known for their high antioxidant content.",China,Herbal,Lycium barbarum,"Supports immune function, high in vitamins.",Red-brown,0 mg,"Sweet, fruity",190°F (88°C),5-10 minutes,Year-round
Golden Milk Tea,Turmeric Latte,"Herbal infusion made with turmeric, spices, and milk; known for anti-inflammatory benefits.",India,Herbal,Curcuma longa,"Anti-inflammatory, may improve joint health.",Golden yellow,0 mg,"Spicy, warm",200°F (93°C),5-10 minutes,Year-round
Gotu Kola Tea,-,"Herbal tea made from gotu kola, known for cognitive benefits.",Asia,Herbal,Centella asiatica,"May improve cognitive function, supports skin health.",Light green,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Guayusa Tea,-,"Herbal tea made from guayusa leaves, known for smoother caffeine content.",Ecuador,Herbal,Ilex guayusa,"Provides energy, rich in antioxidants.",Dark green,30-60 mg,"Smooth, herbal",200°F (93°C),5-7 minutes,Year-round
Gunpowder Green Tea,-,"A type of Chinese green tea with leaves rolled into small pellets, known for robust flavor.",China,Green,Camellia sinensis,"Rich in antioxidants, may boost metabolism.",Green-golden,30-50 mg,"Smoky, vegetal",175°F (80°C),2-3 minutes,Spring
Gyokuro Tea,-,"A high-quality Japanese green tea, shade-grown for a deeper flavor.",Japan,Green,Camellia sinensis,"High in antioxidants, may enhance mental clarity.",Dark green,30-50 mg,"Sweet, umami",140°F (60°C),2-3 minutes,Spring
Hawthorn Tea,-,"Herbal tea made from hawthorn berries, known for cardiovascular benefits.","Europe, Asia",Herbal,Crataegus,"May support heart health, rich in antioxidants.",Dark red,0 mg,"Fruity, sweet",200°F (93°C),5-10 minutes,Spring
Hibiscus Tea,-,"Herbal tea made from dried hibiscus flowers, known for its tart flavor and vibrant color.","Africa, Asia",Herbal,Hibiscus sabdariffa,"May lower blood pressure, rich in vitamin C.",Dark red,0 mg,"Tart, cranberry-like",200°F (93°C),5-10 minutes,Summer
Hojicha Tea,-,"Roasted green tea with a nutty flavor, lower in caffeine compared to regular green tea.",Japan,Green,Camellia sinensis,"Rich in antioxidants, promotes relaxation.",Brown,0-10 mg,"Nutty, toasty",200°F (93°C),30 seconds - 1 minute,"Fall, Winter"
Hokkaido Milk Tea,-,"A creamy tea made with a blend of black tea and milk, often flavored with sweetener.",Japan (Hokkaido),Black,Camellia sinensis,"Comforting, high in calories from milk.",Creamy beige,50-100 mg,"Creamy, sweet",200°F (93°C),5-10 minutes,Year-round
Honeysuckle Tea,-,"Herbal tea made from honeysuckle flowers, known for its floral flavor.","Asia, Europe",Herbal,Lonicera japonica,"May have anti-inflammatory properties, soothing effects.",Pale yellow,0 mg,"Floral, sweet",190°F (88°C),5-10 minutes,Summer
Horsetail Tea,-,"Herbal tea made from horsetail plant, known for its health benefits.",Worldwide,Herbal,Equisetum arvense,"May promote kidney health, high in minerals.",Light green,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Huangshan Maofeng Tea,Yellow Mountain Fur Peak,A high-quality green tea known for its delicate flavor and aroma.,China (Anhui),Green,Camellia sinensis,"High in antioxidants, may improve skin health.",Light green,20-30 mg,"Vegetal, floral",175°F (80°C),2-3 minutes,Spring
Jasmine Tea,-,Scented tea made by blending green tea leaves with jasmine flowers.,China,Green,Camellia sinensis,"May reduce stress, high in antioxidants.",Light yellow-green,20-30 mg,"Floral, sweet",175°F (80°C),3-5 minutes,Summer
Kabusecha Tea,-,"A shade-grown Japanese green tea, known for its umami flavor and vibrant green color.",Japan,Green,Camellia sinensis,"Rich in antioxidants, may enhance focus.",Dark green,30-50 mg,"Umami, vegetal",160°F (71°C),1-2 minutes,Spring
Kapha Tea,-,Herbal tea designed for balancing the Kapha dosha in Ayurveda.,India,Herbal,Various,"Balancing effects, supports digestion.",Varies,0 mg,"Balancing effects, warm, spicy",200°F (93°C),5-10 minutes,Year-round
Keemun Tea,-,A black tea known for its rich flavor and hints of chocolate.,China,Black,Camellia sinensis,"High in antioxidants, may enhance heart health.",Dark amber,30-60 mg,"Fruity, floral",200°F (93°C),3-5 minutes,Summer
Kenyan Purple Leaf Tea,-,"A unique tea made from purple tea leaves, known for high antioxidant content.",Kenya,Herbal,Camellia sinensis,"May lower blood pressure, rich in anthocyanins.",Purple,20-30 mg,"Earthy, slightly sweet",200°F (93°C),5-10 minutes,Year-round
Kombucha Tea,-,Fermented tea beverage known for its probiotic properties.,China,Fermented,Camellia sinensis,"Supports gut health, may boost energy levels.",Varies,20-30 mg,"Tangy, sweet",75°F-85°F (24°C-29°C),2-3 minutes (brewing),Year-round
Kukicha Tea,Twig Tea,"A Japanese tea made from twigs and stems of the tea plant, known for its light flavor.",Japan,Green,Camellia sinensis,"High in antioxidants, low caffeine content.",Light green,0-10 mg,"Sweet, grassy",175°F (80°C),2-3 minutes,Spring
Kuromamecha Tea,Black Bean Tea,"A unique tea made from roasted black soybeans, known for its nutty flavor.",Japan,Herbal,Glycine max,"High in protein, may support digestive health.",Dark brown,0 mg,"Nutty, earthy",200°F (93°C),5-10 minutes,Year-round
Lapsang Souchong Tea,-,A smoked black tea known for its distinctive smoky flavor.,China (Fujian),Black,Camellia sinensis,"Rich in antioxidants, may improve respiratory health.",Dark amber,30-60 mg,"Smoky, rich",200°F (93°C),3-5 minutes,Autumn
Lavender Tea,-,"Herbal tea made from dried lavender flowers, known for calming properties.",Mediterranean,Herbal,Lavandula angustifolia,"Promotes relaxation, may improve sleep quality.",Light purple,0 mg,"Floral, sweet",190°F (88°C),5-10 minutes,Year-round
Lemon Balm Tea,-,"Herbal tea made from lemon balm leaves, known for soothing properties.",Europe,Herbal,Melissa officinalis,"Supports relaxation, may reduce stress and anxiety.",Light yellow-green,0 mg,"Citrus, mild",190°F (88°C),5-10 minutes,Year-round
Lemon Verbena Tea,-,"Herbal tea made from lemon verbena leaves, known for refreshing flavor.",South America,Herbal,Aloysia citrodora,"May support digestion, high in antioxidants.",Light yellow-green,0 mg,"Citrusy, floral",190°F (88°C),5-10 minutes,Year-round
Lemongrass Tea,-,"Herbal tea made from lemongrass stalks, known for refreshing flavor.",Asia,Herbal,Cymbopogon citratus,"Supports digestion, may help lower cholesterol.",Light yellow-green,0 mg,"Citrusy, herbal",190°F (88°C),5-10 minutes,Year-round
Licorice Root Tea,-,"Herbal tea made from licorice root, known for sweet flavor and health benefits.","Europe, Asia",Herbal,Glycyrrhiza glabra,"May soothe throat, supports digestive health.",Light brown,0 mg,"Earthy, slightly sweet",200°F (93°C),5-10 minutes,Year-round
Longjing Tea,Dragon Well Tea,"A renowned green tea known for its flat leaves and sweet, vegetal flavor.",China (Hangzhou),Green,Camellia sinensis,"High in antioxidants, may help reduce stress.",Light yellow-green,20-30 mg,"Sweet, nutty",160°F (71°C),2-3 minutes,Spring
Maca Root Tea,-,"Herbal infusion made from maca root, known for energy-boosting properties.",Peru,Herbal,Lepidium meyenii,"Boosts energy, supports hormonal balance.",Light brown,0 mg,"Nutty, earthy",200°F (93°C),5-10 minutes,Year-round
Maghrebi Mint Tea,Moroccan Mint Tea,Traditional Moroccan tea made from green tea and fresh mint leaves.,Morocco,Green,Camellia sinensis,"Refreshing, may aid digestion.",Bright green,30-50 mg,"Minty, sweet",200°F (93°C),5-7 minutes,"Spring, Summer"
Manglier Tea,-,"Herbal tea made from the manglier tree, known for soothing properties.",Caribbean,Herbal,Psidium guajava,"May support respiratory health, anti-inflammatory properties.",Light brown,0 mg,"Earthy, herbal",200°F (93°C),5-10 minutes,Year-round
Marshmallow Root Tea,-,"Herbal tea made from marshmallow root, known for soothing effects on the throat.","Europe, Asia",Herbal,Althaea officinalis,"Soothes throat, high in mucilage.",Light brown,0 mg,"Sweet, earthy",200°F (93°C),5-10 minutes,Year-round
Matcha Tea,-,Finely ground green tea powder known for rich flavor and health benefits.,Japan,Green,Camellia sinensis,"High in antioxidants, enhances mental clarity.",Bright green,70 mg,"Grassy, sweet",175°F (80°C),1-2 minutes,Spring
Milk Thistle Tea,-,"Herbal tea made from milk thistle seeds, known for liver support.",Mediterranean,Herbal,Silybum marianum,"Supports liver health, rich in antioxidants.",Light brown,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Summer
Mint Tea,Peppermint Tea,"Herbal tea made from mint leaves, known for refreshing flavor.",Worldwide,Herbal,Mentha,"Aids digestion, soothing properties.",Light green,0 mg,"Cool, minty",200°F (93°C),5-10 minutes,Year-round
Moringa Tea,-,"Herbal tea made from moringa leaves, known for nutritional benefits.","India, Africa",Herbal,Moringa oleifera,"Rich in vitamins, may help regulate blood sugar.",Bright green,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Mugwort Tea,-,"Herbal infusion made from mugwort leaves, often used for calming effects.","Europe, Asia",Herbal,Artemisia vulgaris,"May promote vivid dreams, soothing properties.",Light green,0 mg,"Herbal, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Mullein Tea,-,"Herbal tea made from mullein leaves, known for respiratory benefits.","Europe, Asia",Herbal,Verbascum thapsus,"Supports respiratory health, soothing effects.",Light brown,0 mg,"Earthy, sweet",200°F (93°C),5-10 minutes,Year-round
Navajo Tea,-,"Herbal tea traditionally consumed by the Navajo, made from native plants.",North America,Herbal,Various,"May aid in digestion, soothing properties.",Light brown,0 mg,"Earthy, herbal",200°F (93°C),5-10 minutes,Year-round
Nettle Tea,-,"Herbal tea made from nettle leaves, known for health benefits.",Worldwide,Herbal,Urtica dioica,"Supports allergy relief, high in vitamins.",Green,0 mg,"Grassy, slightly sweet",190°F (88°C),5-10 minutes,Year-round
Nilgiri Black Tea,-,"A well-balanced black tea from the Nilgiri hills, known for unique flavor.",India (Nilgiri),Black,Camellia sinensis,"Rich in antioxidants, may improve digestion.",Dark amber,30-60 mg,"Floral, fruity",200°F (93°C),3-5 minutes,Summer
Nilgiri Green Tea,-,"A grassy green tea from the Nilgiri hills, known for refreshing taste.",India (Nilgiri),Green,Camellia sinensis,"High in antioxidants, may enhance metabolism.",Bright green,20-30 mg,"Vegetal, earthy",175°F (80°C),2-3 minutes,Spring
Oat Straw Tea,-,"Herbal tea made from oats, known for calming properties.",Europe,Herbal,Avena sativa,Supports relaxation and stress relief.,Light brown,0 mg,"Mildly sweet, grassy",190°F (88°C),5-10 minutes,Year-round
Olive Leaf Tea,-,"Herbal tea made from dried olive leaves, known for antioxidant content.",Mediterranean,Herbal,Olea europaea,"May support cardiovascular health, high in antioxidants.",Light brown,0 mg,"Herbal, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Osha Root Tea,-,"Herbal tea made from osha root, known for respiratory support.",North America,Herbal,Ligusticum porterii,"Supports respiratory health, anti-inflammatory properties.",Light brown,0 mg,"Earthy, herbal",200°F (93°C),5-10 minutes,Year-round
Palo Azul Tea,-,"Herbal tea made from bark of the palo azul tree, known for potential health benefits.",Mexico,Herbal,Eysenhardtia polystachya,May support detoxification and digestive health.,Light brown,0 mg,"Earthy, slightly sweet",200°F (93°C),5-10 minutes,Year-round
Parsley Tea,-,"Herbal tea made from fresh or dried parsley, known for refreshing flavor.",Mediterranean,Herbal,Petroselinum crispum,"Aids digestion, rich in vitamins and minerals.",Light green,0 mg,"Herbal, slightly bitter",190°F (88°C),5-10 minutes,Year-round
Passionflower Tea,-,"Herbal tea made from the passionflower plant, known for calming effects.",North America,Herbal,Passiflora,"promotes relaxation, may help with anxiety and insomnia.",Light yellow,0 mg,"Floral, mild",190°F (88°C),5-10 minutes,Summer
Peach Tea,-,"Fruity tea made from dried peaches, can be herbal or black tea-based.",Global,Herbal/Black,Prunus persica,"Rich in antioxidants, refreshing flavor.",Light orange,0-40 mg,"Fruity, sweet",200°F (93°C),5-7 minutes,Summer
Peppermint Tea,-,"Herbal tea made from peppermint leaves, known for refreshing qualities.",Worldwide,Herbal,Mentha × piperita,"Aids digestion, calming effects.",Light green,0 mg,"Cool, minty",200°F (93°C),5-10 minutes,Year-round
Pine Needle Tea,-,"Herbal tea made from young pine needles, known for vitamin C content.",North America,Herbal,Pinus,"Supports respiratory health, high in antioxidants.",Light yellow-green,0 mg,"Woody, slightly sweet",190°F (88°C),5-10 minutes,Winter
Pouchong Tea,Baozhong,"A lightly oxidized tea that falls between green and oolong, known for floral notes.",Taiwan,Oolong,Camellia sinensis,"Rich in antioxidants, may help with relaxation.",Pale green,20-40 mg,"Floral, refreshing",175°F (80°C),2-3 minutes,Spring
Pu-erh Tea,Puerh Tea,A fermented tea with a unique earthy flavor that improves with age.,"Yunnan, China",Fermented,Camellia sinensis,"Aids digestion, may lower cholesterol levels.",Dark brown to black,30-70 mg,"Earthy, rich",190°F-212°F (88°C-100°C),30 seconds - 5 min,"Spring (for raw), varies (for aged)"
Purple Boba Tea,-,"A sweet, creamy beverage made with purple yam or ube, served with tapioca pearls.",Taiwan,Herbal,Various,"Enriching flavor, high in nutrients.",Purple,Varies,"Sweet, creamy",200°F (93°C),3-5 minutes,Year-round
